X-axis,Y-axis,States
-137.0,163.0,Jammu And Kashmir
-161.0,79.0,Himachal Pradesh
-18.0,49.0,Punjab
27.0,-108.0,Uttarakhand
0.0,0.0,Haryana
0.0,0.0,Rajasthan
0.0,0.0,Gujarat
0.0,0.0,Madhya Pradesh
0.0,0.0,Uttar Pradesh
0.0,0.0,Sikkim
0.0,0.0,Arunachal Pradesh
0.0,0.0,Assam
0.0,0.0,Meghalaya
0.0,0.0,Nagaland
0.0,0.0,Manipur
0.0,0.0,Mizoram
0.0,0.0,Tripura
0.0,0.0,West Bengal
0.0,0.0,Jharkhand
0.0,0.0,Chhattisgarh
0.0,0.0,Odisha
0.0,0.0,Maharashtra
0.0,0.0,Telangana
0.0,0.0,Goa
0.0,0.0,Andhra Pradesh
0.0,0.0,Tamil Nadu
0.0,0.0,Bihar
0.0,0.0,Karnataka
